A,,B,AL,,AA,AB,AC,AD,AE,AF,AG,AH,Q,F,C,D,K,L,S,T,U,V,W,Z,AI,AJ,AK,,,
Provider,Provider link,Offer,Offer link,Short name,Minute price,Hour price,Week price,Month price,Year price,Month Limit,Setup price,Currency,CPU performance (Tflops SP),GPU performance (TFlops SP),GPU model,GPUs,CPU model,CPUs,Memory (GB),HDD prim.Type,HDD prim.GB,HDD sec.Type,HDD sec.GB,Network,Max hours,Continuous,Notes,,,
Amazon,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,p2.16xlarge on-demand,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,AZ p2.16xl-,,14.4,,,,,,USD,2.3552,69.92,K80,8,Xeon E5-2686 v4,1.777777778,732,,,,,,,,Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36.,5,,
,,p2.8xlarge on-demand,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22241,AZ p2.8xl-,,7.2,,,,,,USD,1.1776,34.96,K80,4,Xeon E5-2686 v4,0.888888889,488,,,,,,,,Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36.,6,,
,,p2.xlarge on-demand,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22242,AZ p2.xl-,,0.9,,,,,,USD,0.1472,4.37,K80,0.5,Xeon E5-2686 v4,0.111111111,61,,,,,,,,Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36.,7,,
,,p2 dedicated host On-demand,https://aws.amazon.com/ec2/dedicated-hosts/pricing/,AZ p2 dedicated,,15.84,,,,,,USD,2.6496,69.92,K80,8,Xeon E5-2686 v4,2,,,,,,,,,,8,,
,,p2 dedicated host 1 year no Upfront,https://aws.amazon.com/ec3/dedicated-hosts/pricing/,AZ p2 dedicated y.0Up,,,,7892.03,,,,USD,2.6496,69.92,K80,8,Xeon E5-2686 v4,2,,,,,,,,,"This is the average monthly payment over the course of the Dedicated Host Reservation term. For each month, the actual monthly payment will equal the actual number of hours in that month multiplied by the hourly usage rate. The hourly usage rate is equivalent to the total average monthly payments over the term divided by the total number of hours (based on a 365 day year) over the term.",9,,
,,p2 dedicated host 1 year 100% Upfront,https://aws.amazon.com/ec4/dedicated-hosts/pricing/,AZ p2 dedicated y.100Up,,,,,88389,,,USD,2.6496,69.92,K80,8,Xeon E5-2686 v4,2,,,,,,,,,,10,,
,,p2 dedicated host 3 years no Upfront,https://aws.amazon.com/ec5/dedicated-hosts/pricing/,AZ p2 dedicated 3y.0Up,,,,5896.94,,,,USD,2.6496,69.92,K80,8,Xeon E5-2686 v4,2,,,,,,,,,"This is the average monthly payment over the course of the Dedicated Host Reservation term. For each month, the actual monthly payment will equal the actual number of hours in that month multiplied by the hourly usage rate. The hourly usage rate is equivalent to the total average monthly payments over the term divided by the total number of hours (based on a 365 day year) over the term.",11,,
,,p2 dedicated host 3 years  100% Upfront,https://aws.amazon.com/ec6/dedicated-hosts/pricing/,AZ p2 dedicated 3y.100Up,,,,,184780,,,USD,2.6496,69.92,K80,8,Xeon E5-2686 v4,2,,,,,,,,,,12,,
IBM,https://www.ibm.com/cloud-computing/bluemix/gpu-computing,P100 E5-2620v4,https://www.softlayer.com/cloud-computing/bluemix/store/configureOrder/553?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1495792638&cm_mc_sid_52640000=1495792638,IBM P100 E5-2620v4,,,,1569,,,,USD,1.0752,9.5,P100,1,Xeon E5-2620 v4,2,64,SATA,1000,,,0.1/0.1,,,500 GB of Internet traffic included.,23,,
